tag,frequency,fandom_specific,category
Pro Hero Midoriya Izuku,19,TRUE,Fandom
Protective Yamada Hizashi | Present Mic,19,TRUE,Fandom
Quirk Shenanigans (My Hero Academia),19,TRUE,Fandom
Chaotic Midoriya Izuku,19,TRUE,Fandom
Kirishima Eijirou is a Good Friend,16,TRUE,Fandom
BAMF Midoriya Inko,16,TRUE,Fandom
Dadmic,16,TRUE,Fandom
Midoriya Izuku Has All for One Quirk,16,TRUE,Fandom
Hero Public Safety Commission Bashing (My Hero Academia),14,TRUE,Fandom
One For All Quirk Haunted by Past One For All Users' Ghosts (My Hero Academia),14,TRUE,Fandom
Deaf Yamada Hizashi | Present Mic,11,TRUE,Fandom
Overpowered Midoriya Izuku,11,TRUE,Fandom
Nedzu is a Little Shit (My Hero Academia),11,TRUE,Fandom
Quirk Accident (My Hero Academia),11,TRUE,Fandom
Bakugou Katsuki is a Little Shit,10,TRUE,Fandom
endeavor's a+ parenting,10,TRUE,Fandom
Midoriya Izuku Has Multiple Quirks,10,TRUE,Fandom
Hacker Midoriya Izuku,10,TRUE,Fandom
Bakugou Mitsuki's Bad Parenting,10,TRUE,Fandom
Minor Original Character(s),10,TRUE,Fandom
Aldera Middle School Faces Consequences (My Hero Academia),10,TRUE,Fandom
Parental Tsukauchi Naomasa,10,TRUE,Fandom
Temporary Character Death,10,TRUE,Fandom
Midoriya Izuku is Bad at Feelings,10,TRUE,Fandom
Protective Todoroki Shouto,10,TRUE,Fandom
Midoriya Izuku is a Nerd,10,TRUE,Fandom
BAMF Uraraka Ochako,10,TRUE,Fandom
Shinsou Hitoshi Needs a Hug,9,TRUE,Fandom
Characters Are Pro Heroes (My Hero Academia),9,TRUE,Fandom
Original Character(s),9,TRUE,Fandom
Everyone Needs A Hug,9,TRUE,Fandom
Toogata Mirio Has One for All Quirk,9,TRUE,Fandom
Adopted Midoriya Izuku,9,TRUE,Fandom
Tired Aizawa Shouta | Eraserhead,9,TRUE,Fandom
Bad Parent Midoriya Inko,9,TRUE,Fandom
Abused Midoriya Izuku,9,TRUE,Fandom
Morally Ambiguous Midoriya Izuku,9,TRUE,Fandom
Established Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,9,TRUE,Fandom
Midoriya Izuku is a Good Friend,9,TRUE,Fandom
Oblivious Bakugou Katsuki,8,TRUE,Fandom
Bakugou Katsuki Being an Asshole,8,TRUE,Fandom
Kid Midoriya Izuku,8,TRUE,Fandom
Traumatized Midoriya Izuku,8,TRUE,Fandom
Cinnamon Roll Midoriya Izuku,8,TRUE,Fandom
Implied/Referenced Character Death,8,TRUE,Fandom
Toga Himiko is Not a Villain,7,TRUE,Fandom
Deaf Bakugou Katsuki,7,TRUE,Fandom
Protective Takami Keigo | Hawks,7,TRUE,Fandom
BAMF Aizawa Shouta | Eraserhead,7,TRUE,Fandom
Selectively Mute Midoriya Izuku,7,TRUE,Fandom
Minor Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic,7,TRUE,Fandom
Homeless Midoriya Izuku,7,TRUE,Fandom
One For All Quirk is Revealed (My Hero Academia),7,TRUE,Fandom
Abusive Todoroki Enji | Endeavor,7,TRUE,Fandom
Analytical Midoriya Izuku,7,TRUE,Fandom
Adopted Eri (My Hero Academia),6,TRUE,Fandom
Minor Midoriya Izuku/Todoroki Shouto,6,TRUE,Fandom
Iida Tenya is a Good Friend,6,TRUE,Fandom
Midoriya Izuku Has a Healing Quirk,6,TRUE,Fandom
Bakugou Masaru's Bad Parenting,6,TRUE,Fandom
Near Death Experiences,6,TRUE,Fandom
Kaminari Denki Has ADHD,6,TRUE,Fandom
Parental Kurogiri (My Hero Academia),6,TRUE,Fandom
Midoriya Izuku Has Chronic Pain,6,TRUE,Fandom
Kurogiri is Not Shirakumo Oboro,5,TRUE,Fandom
Takami Keigo | Hawks is a Little Shit,5,TRUE,Fandom
Protective Tsukauchi Naomasa,5,TRUE,Fandom
My Hero Academia: Vigilantes Spoilers,5,TRUE,Fandom
Bakugou Katsuki Gets Therapy,5,TRUE,Fandom
Gun Wielding Midoriya Izuku,4,TRUE,Fandom
fanboy!hero deku,4,TRUE,Fandom
Aizawa Shouta | Eraserhead Needs a Raise,4,TRUE,Fandom
Pro Hero Todoroki Shouto,4,TRUE,Fandom
Villain Todoroki Shouto,4,TRUE,Fandom
Hatake Kakashi-centric,4,TRUE,Fandom
Bakugou Katsuki is Expelled from U.A. High School,3,TRUE,Fandom
Izuku Sees Dead People,3,TRUE,Fandom
Death,3,TRUE,Fandom
Good Parent Bakugou Mitsuki,3,TRUE,Fandom
Based on a Tumblr Post,3,TRUE,Fandom
Consequences,3,TRUE,Fandom
Midoriya Izuku Gets Hit by a Quirk,3,TRUE,Fandom
Protective Aizawa Shouta,3,TRUE,Fandom
Winged Midoriya Izuku,3,TRUE,Fandom
Divorced Todoroki Enji | Endeavor/Todoroki Rei,3,TRUE,Fandom
Mute Midoriya Izuku,3,TRUE,Fandom
College Student Midoriya Izuku,3,TRUE,Fandom
Child Death,3,TRUE,Fandom
Midoriya Izuku is a villain magnet,2,TRUE,Fandom
Midoriya Izuku & Shigaraki Tomura | Shimura Tenko Are Siblings,2,TRUE,Fandom
