tag,frequency,fandom_specific,category
(kind of),2,FALSE,Meta
#coulsonlives,2,FALSE,Meta
2000s References,2,FALSE,Meta
5 Things,2,FALSE,Meta 
5+1 Things,26,FALSE,Meta 
90s References,3,FALSE,Meta
Abandoned Work - Unfinished and Discontinued,3,FALSE,Meta 
Ableism,5,FALSE,Dark
Ableist Language,2,FALSE,Dark
Abuse,3,FALSE,Abuse
Abused Harry,2,TRUE,Fandom
Abused Harry Potter,4,TRUE,Fandom
Abused Peter Parker,3,TRUE,Fandom
Academia,2,FALSE,Other
Acceptance,2,FALSE,Romance
Accidental Bondage,2,FALSE,Sex
Accidental Spider-Dad Tony Stark,4,TRUE,Fandom
Accidental Voyeurism,4,FALSE,Sex
Action,9,FALSE,Action
Action/Adventure,13,FALSE,Action
actions have consequences,2,FALSE,Meta
Additional Warnings Apply,2,FALSE,Meta
Additional Warnings In Author's Note,3,FALSE,Meta 
Adopted Peter Parker,4,TRUE,Fandom
Adoption,3,FALSE,Family
Adorable Morgan Stark (Marvel Cinematic Universe),3,TRUE,Fandom
Adorable Peter Parker,5,TRUE,Fandom
Aftercare,5,FALSE,Romance
Aftermath,4,FALSE,Angst
Aftermath of Torture,6,FALSE,Angst
Aftermath of Violence,2,FALSE,Dark
Age Difference,15,FALSE,Romance
Age Regression/De-Aging,8,FALSE,Meta 
Albus Dumbledore Bashing,2,TRUE,Fandom
Alcohol,5,FALSE,Substance
Alcohol Abuse/Alcoholism,3,FALSE,Substance
Alfred Pennyworth is the Best,2,TRUE,Fandom
Alien Cultural Differences,2,FALSE,Magic
Alien Invasion,2,FALSE,Action
Alien Sex,4,FALSE,Sex
Aliens,2,FALSE,Magic
All Clint Bartons are Deaf Clint Bartons,2,TRUE,Fandom
all the feels,3,FALSE,Fluff
ALL THE FLUFF,2,FALSE,Fluff
Alpha Bucky Barnes,6,TRUE,Fandom
Alpha Steve,2,TRUE,Fandom
Alpha Steve Rogers,5,TRUE,Fandom
Alpha Wade,2,TRUE,Fandom
Alpha!Steve,2,TRUE,Fandom
Alpha/Beta/Omega Dynamics,24,FALSE,Sex
Alpha/Omega,5,FALSE,Sex
Alternate Ending,2,FALSE,Alterate Universe
Alternate Timelines,5,FALSE,Alternate Universe
Alternate Universe,55,FALSE,Alternate Universe
Alternate Universe - Always a Different Sex,3,FALSE,Alternate Universe
Alternate Universe - BDSM,2,FALSE,Alterate Universe
Alternate Universe - Bodyguard,4,FALSE,Alterate Universe
Alternate Universe - Canon,4,FALSE,Alternate Universe
Alternate Universe - Canon Divergence,77,FALSE,Alternate Universe
Alternate Universe - Coffee Shops & Cafes,2,FALSE,Alternate Universe
Alternate Universe - College/University,3,FALSE,Alternate Universe
Alternate Universe - Crack,3,FALSE,Alternate Universe
Alternate Universe - Everyone Lives/Nobody Dies,4,TRUE,Fandom
Alternate Universe - Fantasy,2,FALSE,Alternate Universe
Alternate Universe - Gender Changes,6,FALSE,Alternate Universe
Alternate Universe - Human,2,FALSE,Alternate Universe
Alternate Universe - Modern Setting,30,FALSE,Alternate Universe
Alternate Universe - Modern: No Powers,5,FALSE,Alterate Universe
Alternate Universe - No Powers,17,FALSE,Alternate Universe
Alternate Universe - Reincarnation,2,FALSE,Alternate Universe
Alternate Universe - Renegotiated Sokovia Accords,2,FALSE,Alterate Universe
Alternate Universe - Soulmates,34,FALSE,Alternate Universe
Alternate Universe - Spies & Secret Agents,2,FALSE,Alterate Universe
Alternate Universe - Still Have Powers,4,FALSE,Alternate Universe
Alternate Universe - Teachers,2,FALSE,Alterate Universe
Alternate Universe - Time Travel,11,FALSE,Alternate Universe
Alternate Universe of an Alternate Universe,5,FALSE,Alterate Universe
Alternate Universes,2,FALSE,Alterate Universe
Always Female Tony Stark,3,TRUE,Fandom
American Politics,2,FALSE,Meta
Amnesia,8,FALSE,Angst
Amputee Bucky Barnes,2,TRUE,Fandom
Anal,3,FALSE,Sex
Anal Fingering,17,FALSE,Sex
Anal Play,2,FALSE,Sex
Anal Plug,2,FALSE,Sex
Anal Sex,34,FALSE,Sex
And Steve Rogers broke it,2,TRUE,Fandom
Angry Peter Parker,4,TRUE,Fandom
Angry Stephen Strange,2,TRUE,Fandom
Angry Tony Stark,3,TRUE,Fandom
Angst,126,FALSE,Angst
Angst and Feels,9,FALSE,Angst
Angst and Fluff,6,FALSE,Fluff
Angst and Fluff and Smut,5,FALSE,Sex
Angst and Humor,11,FALSE,Angst
Angst and Hurt/Comfort,16,FALSE,Angst
Angst with a Happy Ending,54,FALSE,Angst
Angst with feels,2,FALSE,Angst
Animal Transformation,2,FALSE,Other
Anorexia,2,FALSE,Mental Healt
Anti-Team Cap,2,TRUE,Fandom
Anxiety,12,FALSE,Mental Health
Anxiety Attacks,8,FALSE,Mental Health
Anxious Peter Parker,2,TRUE,Fandom
anyway,3,FALSE,Meta
Apologies,4,FALSE,Romance
Arc Reactor,2,FALSE,Meta
Arc Reactor Angst,2,FALSE,Angst
Arranged Marriage,7,FALSE,Romance
Artificial Intelligence,3,FALSE,Meta
Artist Steve Rogers,2,TRUE,Fandom
Asexual Character,3,FALSE,Sex
Asgard,2,TRUE,Fandom
Asgard (Marvel),4,TRUE,Fandom
Asgardian Culture (Marvel),2,TRUE,Fandom
Assassination Attempt(s),4,FALSE,Angst
Assassins & Hitmen,2,FALSE,Action
Attempt at Humor,3,FALSE,Fluff
Attempted Kidnapping,2,FALSE,Action
Attempted Rape/Non-Con,3,FALSE,Abuse
Attempted Sexual Assault,3,FALSE,Sex
AU,5,FALSE,Alternate Universe
author has already arranged a ride to church trust me,2,FALSE,Meta
Author has mental issues,5,FALSE,Meta 
Author is Bitter,3,TRUE,Fandom
Author's Favorite,2,FALSE,Meta
Autistic Peter Parker,2,TRUE,Fandom
Avenger Loki (Marvel),2,TRUE,Fandom
Avengers - Freeform,2,TRUE,Fandom
Avengers Compound,2,TRUE,Fandom
Avengers Family,27,TRUE,Fandom
Avengers Feels,2,TRUE,Fandom
Avengers Movie Night,2,TRUE,Fandom
Avengers screw up,2,TRUE,Fandom
Avengers Tower,23,TRUE,Fandom
Avengers Vol. 1 (1963),3,TRUE,Fandom
Avengers: Age of Ultron (Movie) Spoilers,2,TRUE,Fandom
Avengers: Endgame (Movie) Spoilers,5,TRUE,Fandom
Avengers: Infinity War Part 1 (Movie) Spoilers,2,TRUE,Fandom
Awesome Carol Danvers,3,TRUE,Fandom
Awesome Darcy Lewis,3,TRUE,Fandom
"Awesome James ""Rhodey"" Rhodes",4,TRUE,Fandom
Awesome May Parker (Spider-Man),2,TRUE,Fandom
Awesome Michelle Jones,2,TRUE,Fandom
Awesome Pepper Potts,11,TRUE,Fandom
Awesome Shuri (Marvel),2,TRUE,Fandom
Awkward Crush,2,FALSE,Romance
Awkward Flirting,5,FALSE,Romance
Awkwardness,3,FALSE,Fluff
Background Relationships,2,FALSE,Romance
Backstory,3,FALSE,Meta
Bad BDSM Etiquette,2,FALSE,Sex
Bad Dirty Talk,3,FALSE,Sex
bad language,3,FALSE,Meta
Bad Pick-Up Lines,2,FALSE,Romance
Bad Puns,3,FALSE,Fluff
Baking,2,FALSE,Other
BAMF Bucky Barnes,3,TRUE,Fandom
BAMF Darcy Lewis,3,TRUE,Fandom
BAMF Harry,3,TRUE,Fandom
BAMF Harry Potter,8,TRUE,Fandom
"BAMF James ""Rhodey"" Rhodes",3,TRUE,Fandom
BAMF JARVIS,5,TRUE,Fandom
BAMF Jarvis (Iron Man movies),2,TRUE,Fandom
BAMF Loki (Marvel),10,TRUE,Fandom
BAMF Matt Murdock,3,TRUE,Fandom
BAMF Michelle Jones,3,TRUE,Fandom
BAMF Midoriya Izuku,2,TRUE,Fandom
BAMF Natasha Romanov,4,TRUE,Fandom
BAMF Nebula (Marvel),2,TRUE,Fandom
BAMF Pepper Potts,21,TRUE,Fandom
BAMF Percy Jackson,5,TRUE,Fandom
BAMF Peter,3,TRUE,Fandom
BAMF Peter Parker,51,TRUE,Fandom
BAMF Phil Coulson,2,TRUE,Fandom
BAMF Stark Industries,2,TRUE,Fandom
BAMF Stephen Strange,8,TRUE,Fandom
BAMF Tony Stark,55,TRUE,Fandom
BAMF Wade Wilson,2,TRUE,Fandom
Banter,7,FALSE,Fluff
Barebacking,2,FALSE,Sex
Bathing,2,FALSE,Other
Bathing/Washing,3,FALSE,Romance
BDSM,2,FALSE,Sex
Bearded Steve Rogers,2,TRUE,Fandom
bed sharing,2,FALSE,Fluff
Begging,3,FALSE,Sex
Best Friends,2,FALSE,Family
Betrayal,7,FALSE,Angst
Bets & Wagers,2,FALSE,Meta 
Bickering,2,FALSE,Fluff
Big Bang Challenge,2,FALSE,Meta
Big Brother Peter Parker,2,TRUE,Fandom
Bigotry & Prejudice,2,FALSE,Dark
Biology Inaccuracies,2,FALSE,Other
Bisexual Bucky Barnes,5,TRUE,Fandom
Bisexual Character,3,FALSE,Other
Bisexual Harry Potter,3,TRUE,Fandom
Bisexual Percy Jackson,3,TRUE,Fandom
Bisexual Peter Parker,9,TRUE,Fandom
Bisexual Steve Rogers,11,TRUE,Fandom
Bisexual Tony Stark,6,TRUE,Fandom
Bisexuality,4,FALSE,Sex
Biting,5,FALSE,Sex
Bitter Sunday,2,FALSE,Other
Bitterness,3,FALSE,Angst
Blind Character,7,FALSE,Meta 
Blindness,2,FALSE,Other
Blood,7,FALSE,Dark
Blood and Gore,3,FALSE,Dark
