Tag,Frequency,Category
Fluff,183,Romance and Relationships
Hurt/Comfort,146,Angst and Hurt
Angst,136,Angst and Hurt
Slow Burn,115,Romance and Relationships
Humor,114,Humor
Alternate Universe - Canon Divergence,111,Alternate Universe
Angst with a Happy Ending,70,Angst and Hurt
Time Travel,62,Alternate Universe
Romance,59,Romance and Relationships
Fluff and Angst,57,Romance and Relationships
Alternate Universe,55,Alternate Universe
Pining,54,Romance and Relationships
Mutual Pining,50,Romance and Relationships
First Time,50,Romance and Relationships
Canon-Typical Violence,49,Canon
Implied/Referenced Child Abuse,48,Abuse and Trauma
Slow Build,47,Romance and Relationships
Emotional Hurt/Comfort,45,Angst and Hurt
BAMF Midoriya Izuku,45,Identity and Character
Anal Sex,45,Sex and Sexuality
Parental Aizawa Shouta | Eraserhead,44,Identity and Character
Misunderstandings,36,Angst and Hurt
Getting Together,35,Romance and Relationships
Friends to Lovers,34,Romance and Relationships
Happy Ending,33,Romance and Relationships
Rimming,33,Sex and Sexuality
Smut,32,Sex and Sexuality
Post-Traumatic Stress Disorder - PTSD,31,Abuse and Trauma
Minor Character Death,30,Death and Tragedy
Friendship,30,Family and Friendship
Quirkless Midoriya Izuku,30,Identity and Character
Blow Jobs,30,Sex and Sexuality
Panic Attacks,29,Abuse and Trauma
Crack Treated Seriously,29,Humor
Identity Reveal,29,Identity and Character
First Kiss,29,Romance and Relationships
Alternate Universe - College/University,28,Alternate Universe
Fix-It,28,Canon
Hogwarts Eighth Year,27,Alternate Universe
Found Family,27,Family and Friendship
Secret Identity,27,Identity and Character
Violence,26,Abuse and Trauma
Alternate Universe - Soulmates,26,Alternate Universe
Crack,26,Humor
Midoriya Izuku Does Not Have One for All Quirk,26,Identity and Character
Falling In Love,25,Romance and Relationships
Fluff and Humor,25,Romance and Relationships
Don't copy to another site,25,Warnings and Advisories
Time Travel Fix-It,24,Alternate Universe
Alternate Universe - Modern Setting,24,Alternate Universe
Post-Canon,24,Canon
Bakugou Katsuki Swears A Lot,24,Identity and Character
Suicidal Thoughts,23,Abuse and Trauma
Families of Choice,23,Family and Friendship
Midoriya Izuku Has a Quirk,23,Identity and Character
Other Additional Tags to Be Added,23,Other
Established Relationship,23,Romance and Relationships
Anal Fingering,23,Sex and Sexuality
Oral Sex,23,Sex and Sexuality
Kidnapping,22,Abuse and Trauma
Canon Compliant,22,Canon
Tony Stark Has A Heart,22,Identity and Character
Fake/Pretend Relationship,22,Romance and Relationships
Eventual Smut,22,Sex and Sexuality
Masturbation,22,Sex and Sexuality
Miscommunication,21,Angst and Hurt
Angst and Humor,21,Angst and Hurt
Enemies to Lovers,21,Romance and Relationships
Dadzawa,20,Identity and Character
Unreliable Narrator,20,Other
Explicit Sexual Content,20,Sex and Sexuality
Mental Health Issues,19,Abuse and Trauma
Drama,19,Angst and Hurt
Possessive Behavior,19,Identity and Character
Midoriya Izuku Needs A Hug,19,Identity and Character
Podfic Available,19,Other
Dirty Talk,19,Sex and Sexuality
Knotting,19,Sex and Sexuality
Alpha/Beta/Omega Dynamics,19,Sex and Sexuality
Hand Jobs,19,Sex and Sexuality
Parental Yagi Toshinori | All Might,18,Identity and Character
Shinsou Hitoshi Replaces Mineta Minoru,18,Identity and Character
Praise Kink,18,Sex and Sexuality
Sexual Content,18,Sex and Sexuality
Past Child Abuse,17,Abuse and Trauma
Child Abuse,17,Abuse and Trauma
Character Death,17,Death and Tragedy
Bakugou Katsuki is Bad at Feelings,17,Identity and Character
Midoriya Izuku Has One for All Quirk,17,Identity and Character
Enemies to Friends to Lovers,17,Romance and Relationships
Soulmates,17,Romance and Relationships
Domestic Fluff,17,Romance and Relationships
Sharing a Bed,17,Romance and Relationships
Blood and Injury,16,Abuse and Trauma
Torture,16,Abuse and Trauma
5+1 Things,16,Other
Explicit Language,16,Other
Soulmate-Identifying Marks,16,Romance and Relationships
Fluff and Smut,16,Romance and Relationships
Kid Fic,16,Specific Themes
Self-Harm,15,Abuse and Trauma
Bullying,15,Abuse and Trauma
Jealousy,15,Angst and Hurt
Vigilante Midoriya Izuku,15,Identity and Character
Protective Aizawa Shouta | Eraserhead,15,Identity and Character
Social Media,15,Other
POV Outsider,15,Other
Cuddling & Snuggling,15,Romance and Relationships
Mating Cycles/In Heat,15,Sex and Sexuality
Semi-Public Sex,15,Sex and Sexuality
Whump,14,Abuse and Trauma
Future Fic,14,Alternate Universe
Shinsou Hitoshi is in Class 1-A,14,Identity and Character
HP: EWE,14,Other
Friends With Benefits,14,Romance and Relationships
Sexual Tension,14,Sex and Sexuality
Suicide Attempt,13,Abuse and Trauma
Slytherin Harry Potter,13,Alternate Universe
Family,13,Family and Friendship
Midoriya Izuku is a Ray of Sunshine,13,Identity and Character
Coming Out,13,Identity and Character
Aizawa Shouta | Eraserhead is So Done,13,Identity and Character
Todoroki Enji | Endeavor's Bad Parenting,13,Identity and Character
Idiots in Love,13,Romance and Relationships
Underage Drinking,13,Substance Use
Internalized Homophobia,12,Abuse and Trauma
Alternate Universe - Time Travel,12,Alternate Universe
Light Angst,12,Angst and Hurt
Master of Death Harry Potter,12,Identity and Character
Parental Yamada Hizashi | Present Mic,12,Identity and Character
Midoriya Izuku is a Little Shit,12,Identity and Character
Mystery,12,Other
Kissing,12,Romance and Relationships
Dubious Consent,12,Sex and Sexuality
Frottage,12,Sex and Sexuality
Mpreg,12,Specific Themes
Child Neglect,11,Abuse and Trauma
Depression,11,Abuse and Trauma
AU,11,Alternate Universe
Harry Potter Epilogue What Epilogue | EWE,11,Canon
Fix-It of Sorts,11,Canon
Team as Family,11,Family and Friendship
Tony Stark Acting as Peter Parker's Parental Figure,11,Identity and Character
Manipulative Albus Dumbledore,11,Identity and Character
Tony Stark Needs a Hug,11,Identity and Character
Class 1-A Shenanigans (My Hero Academia),11,Other
Swearing,11,Other
Magic,11,Other
Perevod na russkii | Translation in Russian,11,Other
Developing Relationship,11,Romance and Relationships
Love Confessions,11,Romance and Relationships
Eventual Happy Ending,11,Romance and Relationships
Scent Marking,11,Sex and Sexuality
Rough Sex,11,Sex and Sexuality
Identity Porn,11,Sex and Sexuality
Emotional Manipulation,10,Abuse and Trauma
Injury,10,Abuse and Trauma
Alternate Universe - Human,10,Alternate Universe
Not Canon Compliant,10,Alternate Universe
Alternate Universe - Everyone Lives/Nobody Dies,10,Alternate Universe
It Gets Worse Before It Gets Better,10,Angst and Hurt
Angst and Hurt/Comfort,10,Angst and Hurt
Heavy Angst,10,Angst and Hurt
Post-Hogwarts,10,Canon
Post-War,10,Canon
Temporary Character Death,10,Death and Tragedy
Family Feels,10,Family and Friendship
Albus Dumbledore Bashing,10,Identity and Character
Protective Bakugou Katsuki,10,Identity and Character
Smart Midoriya Izuku,10,Identity and Character
Scary Midoriya Izuku,10,Identity and Character
Cute Midoriya Izuku,10,Identity and Character
Aged-Up Character(s),10,Identity and Character
Complete,10,Other
Worldbuilding,10,Other
Texting,10,Other
Unhealthy Relationships,10,Romance and Relationships
Homophobia,9,Abuse and Trauma
Quirk Discrimination (My Hero Academia),9,Abuse and Trauma
Blood and Violence,9,Abuse and Trauma
Crossover,9,Alternate Universe
Alternate Universe - Superheroes/Superpowers,9,Alternate Universe
Anxiety,9,Angst and Hurt
Recovery,9,Angst and Hurt
Canonical Character Death,9,Canon
Post-Captain America: Civil War (Movie),9,Canon
Sleepy Bois Inc as Family,9,Family and Friendship
Father-Son Relationship,9,Family and Friendship
Protective Midoriya Izuku,9,Identity and Character
Peter Parker Needs a Hug,9,Identity and Character
Character Study,9,Identity and Character
Bruce Wayne is a Good Parent,9,Identity and Character
Genius Midoriya Izuku,9,Identity and Character
Mineta Minoru is Expelled from U.A. High School,9,Identity and Character
Soft Bakugou Katsuki,9,Identity and Character
Sensei | All For One is Midoriya Hisashi,9,Identity and Character
Civil War Team Iron Man,9,Other
Action/Adventure,9,Other
Sort Of,9,Other
Original Character(s),9,Other
Fanart,9,Other
Courtship,9,Romance and Relationships
Secret Relationship,9,Romance and Relationships
Multiple Orgasms,9,Sex and Sexuality
Loss of Virginity,9,Sex and Sexuality
Pack Dynamics,9,Specific Themes
Blood,8,Abuse and Trauma
Major Character Injury,8,Abuse and Trauma
Emotional/Psychological Abuse,8,Abuse and Trauma
Trauma,8,Abuse and Trauma
Bigotry & Prejudice,8,Abuse and Trauma
Suicide,8,Abuse and Trauma
Abuse,8,Abuse and Trauma
Quirkless Discrimination (My Hero Academia),8,Abuse and Trauma
Alternate Universe - High School,8,Alternate Universe
Sassy Midoriya Izuku,8,Identity and Character
Villain Midoriya Izuku,8,Identity and Character
Protective Tony Stark,8,Identity and Character
Field Trip,8,Other
Arranged Marriage,8,Romance and Relationships
Soul Bond,8,Romance and Relationships
Unresolved Sexual Tension,8,Sex and Sexuality
Voyeurism,8,Sex and Sexuality
Werewolves,8,Specific Themes
Do not repost,8,Warnings and Advisories
Boku no Hero Academia | My Hero Academia Manga Spoilers,8,Warnings and Advisories
Manipulation,7,Abuse and Trauma
Implied/Referenced Suicide,7,Abuse and Trauma
Alternate Universe - Werewolves Are Known,7,Alternate Universe
Anxiety Attacks,7,Angst and Hurt
Crying,7,Angst and Hurt
Betrayal,7,Angst and Hurt
Healing,7,Angst and Hurt
Grief/Mourning,7,Angst and Hurt
Sickfic,7,Angst and Hurt
Not Avengers: Infinity War Part 1 (Movie) Compliant,7,Canon
Dark,7,Dark and Manipulative
Near Death Experiences,7,Death and Tragedy
Class 1-A as Family (My Hero Academia),7,Family and Friendship
Platonic Cuddling,7,Family and Friendship
Aizawa Shouta | Eraserhead Adopts Midoriya Izuku,7,Family and Friendship
Aizawa Shouta | Eraserhead Adopts Shinsou Hitoshi,7,Family and Friendship
Family Fluff,7,Family and Friendship
Peter Parker is a Little Shit,7,Humor
Dabi is Todoroki Touya,7,Identity and Character
Ozai (Avatar) Being a Terrible Parent,7,Identity and Character
Bakugou Katsuki Redemption,7,Identity and Character
Magically Powerful Harry Potter,7,Identity and Character
Alpha Derek,7,Identity and Character
Analyst Midoriya Izuku,7,Identity and Character
Harry Potter is a Horcrux,7,Identity and Character
Yagi Toshinori | All Might Bashing,7,Identity and Character
BAMF Peter Parker,7,Identity and Character
Protective Bucky Barnes,7,Identity and Character
Bakugou Katsuki Faces Consequences,7,Identity and Character
Midoriya Izuku Swears,7,Identity and Character
Minor Original Character(s),7,Other
Twitter,7,Other
Translation Available,7,Other
adrienette - Freeform,7,Other
Magic Revealed,7,Other
kind of,7,Other
seriously,7,Other
Hate to Love,7,Romance and Relationships
Enemies to Friends,7,Romance and Relationships
Confessions,7,Romance and Relationships
wolfstar,7,Romance and Relationships
Eventual Romance,7,Romance and Relationships
Sex Toys,7,Sex and Sexuality
Switching,7,Sex and Sexuality
Scent Kink,7,Sex and Sexuality
Phone Sex,7,Sex and Sexuality
Shower Sex,7,Sex and Sexuality
UST,7,Sex and Sexuality
Porn With Plot,7,Sex and Sexuality
Pack Feels,7,Specific Themes
Smoking,7,Substance Use
Alcohol,7,Substance Use
Implied/Referenced Sexual Assault,6,Abuse and Trauma
Blood and Gore,6,Abuse and Trauma
Dissociation,6,Abuse and Trauma
Gore,6,Abuse and Trauma
Suicidal Midoriya Izuku,6,Abuse and Trauma
Verbal Abuse,6,Abuse and Trauma
PTSD,6,Abuse and Trauma
Time Loop,6,Alternate Universe
Dimension Travel,6,Alternate Universe
Everyone Is Alive,6,Alternate Universe
Alternate Universe - Royalty,6,Alternate Universe
Memory Loss,6,Angst and Hurt
Flashbacks,6,Angst and Hurt
Nightmares,6,Angst and Hurt
Canon Era,6,Canon
Dark Harry,6,Dark and Manipulative
Possessive Tom Riddle,6,Dark and Manipulative
Murder Husbands,6,Dark and Manipulative
Dead Midoriya Inko,6,Death and Tragedy
Midoriya Izuku & Shinsou Hitoshi Friendship,6,Family and Friendship
Adoption,6,Family and Friendship
Batfamily (DCU),6,Family and Friendship
Childhood Friends,6,Family and Friendship
Domestic Avengers,6,Family and Friendship
Banter,6,Humor
Comedy,6,Humor
Fire Lord Zuko,6,Identity and Character
Tattoos,6,Identity and Character
Good Parent Midoriya Inko,6,Identity and Character
Character Development,6,Identity and Character
Auror Harry Potter,6,Identity and Character
Villain Midoriya Hisashi,6,Identity and Character
Zuko is an Awkward Turtleduck,6,Identity and Character
Good Parent Phil Watson (Video Blogging RPF),6,Identity and Character
Overpowered Midoriya Izuku,6,Identity and Character
eventually,6,Other
LadyNoir - Freeform,6,Other
Spanish Translation,6,Other
Zhong Wen Fan Yi  | Translation in Chinese,6,Other
Case Fic,6,Other
Sign Language,6,Other
Quidditch,6,Other
Politics,6,Other
Mistaken Identity,6,Other
Marichat,6,Other
Redemption,6,Romance and Relationships
Literal Sleeping Together,6,Romance and Relationships
Polyamory,6,Romance and Relationships
Overstimulation,6,Sex and Sexuality
Mildly Dubious Consent,6,Sex and Sexuality
Bottom Draco,6,Sex and Sexuality
Light Bondage,6,Sex and Sexuality
Scenting,6,Sex and Sexuality
Recreational Drug Use,6,Substance Use
Homophobic Language,5,Abuse and Trauma
Implied/Referenced Self-Harm,5,Abuse and Trauma
Period-Typical Homophobia,5,Abuse and Trauma
Stalking,5,Abuse and Trauma
Abusive Midoriya Inko,5,Abuse and Trauma
Minor Violence,5,Abuse and Trauma
Body Horror,5,Abuse and Trauma
Alternate Universe - No Powers,5,Alternate Universe
Alive Hale Family,5,Alternate Universe
Modern AU,5,Alternate Universe
Personality Swap AU,5,Alternate Universe
Hurt Peter Parker,5,Angst and Hurt
Tony Feels,5,Angst and Hurt
Insomnia,5,Angst and Hurt
Amnesia,5,Angst and Hurt
Tony Stark Has Issues,5,Angst and Hurt
Angst and Feels,5,Angst and Hurt
